제목,주소
"LG전자, 헬스케어·모빌리티·메타버스 스타트업 키운다",https://zdnet.co.kr/view/?no=20220912090454
"인천서구, 추석 테마로 아라뱃길 메타버스 오픈",https://www.viva100.com/main/view.php?key=20220912010002624
"[메타버스의 확장④]삼성도 주목한 산업 성장성…""2030년 대중화""",http://www.newsis.com/view/?id=NISX20220908_0002008128&cID=13005&pID=13100
"게임업계, 메타버스 영역 확장 본격화",http://sports.khan.co.kr/news/sk_index.html?art_id=202209121423003&sec_id=560201&pt=nv
"인크루트, 오비스 메타버스 웨비나 참여",https://www.etnews.com/20220912000063
"진힙즈엔터테인먼트&아름담다, 메타버스 스타디움 첫 선",https://ent.sbs.co.kr/news/article.do?article_id=E10010257410&plink=ORI&cooper=NAVER
"‘킥보드 불법 질주’ 메타버스는 해결할까…서울경찰청, 제페토에 들어선다",https://www.sedaily.com/NewsView/26B1N8Q6H3
취업박람회부터 메타버스까지…달라지는 채용 풍속도,http://www.yonhapnewstv.co.kr/MYH20220912000900641/?input=1825m
우주로 진입하기 위한 메타버스의 새로운 도전,http://www.koreaittimes.com/news/articleView.html?idxno=115850
“일자리 박람회 메타버스 첨단기법 활용”,http://www.kwnews.co.kr/page/view/2022091206545602644
"인천서구, 추석 테마로 아라뱃길 메타버스 오픈",https://www.viva100.com/main/view.php?key=20220912010002624
"[메타버스의 확장③]""화학물질 유출 막아라"" 게임하듯 훈련",http://www.newsis.com/view/?id=NISX20220908_0002007982&cID=13005&pID=13100
"‘킥보드 불법 질주’ 메타버스는 해결할까…서울경찰청, 제페토에 들어선다",https://www.sedaily.com/NewsView/26B1N8Q6H3
"[메타버스의 확장②]""화재발생!"" 위험상황 훈련…안전하게·실전처럼",http://www.newsis.com/view/?id=NISX20220908_0002007486&cID=10406&pID=13100
취업박람회부터 메타버스까지…달라지는 채용 풍속도,http://www.yonhapnewstv.co.kr/MYH20220912000900641/?input=1825m
"경운대, 경북도와 교통안전 메타버스 인프라 개발 착수",http://www.newsis.com/view/?id=NISX20220911_0002009288&cID=10810&pID=10800
우주로 진입하기 위한 메타버스의 새로운 도전,http://www.koreaittimes.com/news/articleView.html?idxno=115850
“일자리 박람회 메타버스 첨단기법 활용”,http://www.kwnews.co.kr/page/view/2022091206545602644
"더 샌드박스, ‘라그나로크’ 메타버스 게임잼 개최",http://sports.khan.co.kr/news/sk_index.html?art_id=202209121113003&sec_id=560201&pt=nv
(체험기)메타버스에서 낚은 오징어가 집으로 왔다,http://www.newstomato.com/ReadNews.aspx?no=1146196&inflow=N
